Party,Handle,Tweet
Republican,CongressmanDan,RT @RepRyanCostello: I supported @CongressmanDan &amp; @RepSinema Amendment in the #VAaccountability Act https://t.co/sIQWkE8BZY
Republican,RepMikeTurner,RT @HASCRepublicans: LIVE: Chairman @RepMikeTurner leads TacAirLand hearing on F-35 Joint Strike Fighter Program - Tune In here: https://t.…
Democrat,RepScottPeters,"During #SmallBusinessWeek, I shared some the ways my San Diego office can help small businesses grow and thrive. Le… https://t.co/7ek1PzTTFZ"
Democrat,RepRobinKelly,"Yet another court has struck down @realDonaldTrump’s heartless efforts to end #DACA. At this point, the score is pr… https://t.co/Gv3pJHHsB3"
Republican,RepSteveStivers,"RT @AARPOhio: More focus on Ohio's 1.5 million family caregivers. Thank you @RepSteveStivers for cosponsoring RAISE #FamilyCaregiversAct, n…"
Republican,RepMcClintock,Kudos to the @NatlParkService for dropping its visitor-unfriendly bottled water ban. https://t.co/2YaTng0EVB
Democrat,RepGwenMoore,Vel Phillips was my friend &amp; champion. She cheered me on through every victory in my life &amp; taught me to always kee… https://t.co/d104PlwhBi
Republican,RepTomRice,"Praying for students and their families in Parkland, Florida. Our hearts are with you during this time."
Democrat,RepDavidEPrice,"RT @JohnJHarwood: in 2018, new tax-cut gives top 1% average of $4,261 per month

it gives bottom 20% of earners an average of $5 per month…"
Republican,boblatta,"Joined reps from @USACE_Buffalo, @OhioEPA, @ohiodnr, + @TLCPA for a look at the at the Great Lakes Dredged Material… https://t.co/Ac6WF6lFdh"
Republican,RepTomEmmer,"Great to participate, thanks for having me! #DCBlockchain https://t.co/UmXwoG3gSG"
Democrat,keithellison,"RT @JesseLehrich: ""In some cases, rental payments for some of the neediest families would triple"" https://t.co/Jzzl8KHki1"
Republican,Transport,Scenes from this morning's Coast Guard hearing. @USCG #infrastructure #hearing @RepDuncanHunter https://t.co/cU87NFPlKo
Republican,SteveKingIA,BuzzFeed gets one big thing wrong &amp; one big thing right. Wrong: I’m not Isolated…We have 170 Cosponsors &amp; 162 organ… https://t.co/eLZNc5Kq5u
Republican,RepMikeBishop,RT @RepAnnWagner: BREAKING: The House just took a monumental step in the fight to end online sex trafficking. Thank you to all of my collea…
Republican,RepRyanZinke,RT @CowlesMontana: Rep. Ryan Zinke tours local Malt Barley Plant https://t.co/vD1A643TuQ https://t.co/sLZE9njgIe
Democrat,StaceyPlaskett,"RT @HispanicCaucus: ** The White House's fear-mongering is on full display today ** 
First Trump, 
Then Kelly,
Now Kirstjen Nielsen
...and…"
Republican,RepTomRice,Happy #SmallBusinessWeek to the 30 million small businesses in the United States that employ over 57 million people!
Republican,SusanWBrooks,Tonight’s announcement of US targeted strikes in Syria sends a strong message to the Assad regime that their brutal… https://t.co/7MOSbGXkUT
Republican,RepBillShuster,I'm praying for the victims and families affected by the horrific and senseless act of violence in Las Vegas last night.
Democrat,BillPascrell,"Today marks one year since @HouseGOP passed #Trumpcare, which would have stolen health care from 469,000 New Jersey… https://t.co/kl3X6Su404"
Republican,GOPLeader,"RT @cathymcmorris: With the #ABLE provisions in #taxreform, we are giving people with disabilities, like Down syndrome, an opportunity for…"
Republican,Rep_Hunter,Appreciate @realDonaldTrump supporting border security measures preventing MS-13 coming into US.  Many do not under… https://t.co/yikyomOq6i
Democrat,RepJoshG,"Honored to be recognized as the most bipartisan freshman Democrat in the 115th Congress, especially on the day the… https://t.co/QrMXHmgdgU"
Democrat,SupJaniceHahn,"Thousands of people joined the Long Beach #MarchForOurLives! 
If you can speak out— SPEAK OUT!
If you can march— MA… https://t.co/ueb4NHpbqx"
